Location,Date,Genus,Species,Sex
Alpine,14-Apr,Chrysobothris,quadriimpressa,female
Alpine,5-May,Chrysobothris,azurea,male
Alpine,12-May,Chrysobothris,femorata ,male
Alpine,27-May,Chrysobothris,shawnee,female
Alpine,9-Jun,Chrysobothris,shawnee,female
Alpine,9-Jun,Chrysobothris,adelpha,female
Alpine,9-Jun,Chrysobothris,caddo,female
Alpine,23-Jun,Chrysobothris,femorata ,female
Kreher,15-Apr,Chrysobothris,shawnee,female
Kreher,9-Jun,Chrysobothris,quadriimpressa,female
Kreher,23-Jun,Chrysobothris,shawnee,female
Mobile,27-Apr,Chrysobothris,chrysoela,female
Mobile,27-Apr,Chrysobothris,quadriimpressa,male
Mobile,3-May,Chrysobothris,chrysoela,female
Mobile,3-May,Chrysobothris,chrysoela,male
Mobile,3-May,Chrysobothris,chrysoela,female
Mobile,10-May,Chrysobothris,quadriimpressa,male
Mobile,10-May,Chrysobothris,shawnee,female
Mobile,10-May,Chrysobothris,shawnee,female
Mobile,17-May,Chrysobothris,shawnee,female
Mobile,17-May,Chrysobothris,shawnee,female
Mobile,17-May,Chrysobothris,shawnee,female
Mobile,17-May,Chrysobothris,adelpha,male
Mobile,17-May,Chrysobothris,adelpha,female
Mobile,17-May,Chrysobothris,adelpha,female
Mobile,17-May,Chrysobothris,quadriimpressa,female
Mobile,17-May,Chrysobothris,quadriimpressa,male
Mobile,17-May,Chrysobothris,shawnee,female
Mobile,17-May,Chrysobothris,shawnee,female
Mobile,17-May,Chrysobothris,caddo,male
Mobile,17-May,Chrysobothris,shawnee,female
Mobile,23-May,Chrysobothris,quadriimpressa,male
Mobile,23-May,Chrysobothris,shawnee,female
Mobile,23-May,Chrysobothris,shawnee,male
Mobile,23-May,Chrysobothris,chrysoela,female
Mobile,31-May,Chrysobothris,quadriimpressa,male
Mobile,31-May,Chrysobothris,shawnee,male
Mobile,31-May,Chrysobothris,shawnee,female
Mobile,31-May,Chrysobothris,shawnee,female
Mobile,31-May,Chrysobothris,shawnee,female
Mobile,31-May,Chrysobothris,shawnee,female
Mobile,21-Jun,Chrysobothris,cribraria,female
Mobile,21-Jun,Chrysobothris,cribraria,female
Mobile,21-Jun,Chrysobothris,chrysoela,female
Mobile,21-Jun,Chrysobothris,quadriimpressa,female
Mobile,21-Jun,Chrysobothris,chrysoela,female
Mobile,21-Jun,Chrysobothris,cribraria,female
Mobile,21-Jun,Chrysobothris,quadriimpressa,female
Mobile,21-Jun,Chrysobothris,cribraria,female
Mobile,21-Jun,Chrysobothris,shawnee,female
Mobile,21-Jun,Chrysobothris,cribraria,male
Mobile,21-Jun,Chrysobothris,chrysoela,female
Mobile,21-Jun,Chrysobothris,chrysoela,male
Mobile,21-Jun,Chrysobothris,shawnee,female
Mobile,21-Jun,Chrysobothris,chrysoela,female
Mobile,21-Jun,Chrysobothris,shawnee,male
Mobile,21-Jun,Chrysobothris,chrysoela,male
Mobile,25-Jul,Chrysobothris,chrysoela,male
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,sloicola,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,adelpha,female
Mobile,25-Jul,Chrysobothris,chrysoela,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,cribraria,male
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,chrysoela,female
Mobile,25-Jul,Chrysobothris,quadriimpressa,male
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,shawnee,female
Mobile,25-Jul,Chrysobothris,cribraria,male
Mobile,15-Aug,Chrysobothris,shawnee,female
Mobile,15-Aug,Chrysobothris,cribraria,male
Mobile,15-Aug,Chrysobothris,shawnee,male
Mobile,15-Aug,Chrysobothris,shawnee,female